Ship-To-SAP,Link,Ship-To,Purchase Order No. : ,Date of Order :  ,TO:,CONSIGNEE & NOTIFY :,AGENT:,END USER:,DELIVERY DATE (ETD) :,TERMS OF PAYMENT :,TERMS OF DELIVERY :,PACKING INSTRUCTIONS :,DESTINATION :,  CUSTOMER PO No.:,PRODUCT,DESCRIPTION,QUANTITY,UNIT PRICE,Unit,AMOUNT,Confirm by
BRIDGESTONE POZNAN SP/ZO.O.,5500070292 BS POLAND .xls,BRIDGESTONE POZNAN SP/ZO.O,5500070292,20-2-26,"  THAI SYNTHETIC RUBBERS CO., LTD.",BRIDGESTONE POZNAN SP/ZO.O,,,11-2-26,  BY T.T.R 60 DAYS AFTER B/L DATE,   CIF GDYNIA,  STANDARD EXPORT PACKING BY GPS,"GDYNIA,POLAND",5500070292,VCR,  UBEPOL VCR412,18.9,"1,826.88",EUR,"34,528.03",T. Fujioka
,,,,,"  18 th Floor, Sathorn Square Office Tower,",UL.BALTYCKA 65,,,,,,,,,,,,,,,Senior Exective Vice President
,,,,,"  98 North Sathorn Road, ","61-017 POZNAN, POLAND",,,,,,,,,,,,,,,"Thai Synthetic Rubbers  Co., Ltd."
,,,,,"  Silom, Bangrak, Bangkok 10500, ",,,,,,,,,,,,,,,,
,,,,,  THAILAND,,,,,,,,,,,,,,,,
,,,,,  ATTN.: T. Fujioka  / SEVP,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BRIDGESTONE DO BRASIL,4900001722 BS BRASIL Doc xls.xls,BRIDGESTONE BRASIL,4900001722,17-11-23,Same above,BRIDGESTONE DO BRASIL,,,28-12-23,  BY T.T.R 45 DAYS AFTER B/L DATE,CFR SANTOS BRAZIL,  STANDARD EXPORT PACKING BY GPS,"SANTOS, BRAZIL",4900001722,BR,  UBEPOL BR150L,20.16,"1,892.16",USD,"38,145.95",T. Fujioka
,,,,,,AV.QUEIROS DOS SANTOS 1717,,,,,,,,,,,,,,,Senior Exective Vice President
,,,,,,SANTO ANDRE-09015-901-SAO PAULO-BRAZIL,,,,,,,,,,,,,,,"Thai Synthetic Rubbers  Co., Ltd."
,,,,,,CNPJ:57497539/0001-15 ,,,,,,,,,,,,,,,
,,,,,,TEL:(011)4433-1666 FAX(011)4433-1187,,,,,,,,,,,,,,,
,,,,,,Mr.Paulo,,,,,,,,,,,,,,,
,,,,,,NOTIFY;PLEASE REFER TO THE SI,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BRIDGESTONE TATABANYA MANUFACTURING LTD.,https://ubeglobal.sharepoint.com/:x:/r/sites/CustomerWebPortal/Shared%20Documents/General/Shipping%20Instruction/Contract/Bridgestone/BS%20HUNGARY_5500069106.xlsx?d=w69d076dd1b5c4f699af6f309226a4414&csf=1&web=1&e=098Hnf,BRIDGESTONE HUNGARY,5500069106,16-3-26,Same above,Bridgestone Tatabanya Manufacturing Ltd.,,,04-10-25,  BY T.T.R 60 DAYS AFTER B/L DATE,CIF HAMBURG PORT,  STANDARD EXPORT PACKING BY GPS,HAMBURG GERMANY,5500069106,VCR,  UBEPOL VCR412,20.16,"1,877.76",       EUR,"37,855.64",T. Fujioka
,,,,,,"H-2851 Környe, K?híd u. 1.",,,,,,,,,,,,,,,Senior Exective Vice President
,,,,,,ATTN:Erika Gulyás,,,,,,,,,,,,,,,"Thai Synthetic Rubbers  Co., Ltd."
,,,,,,<erika.gulyas.ext@bridgestone.eu>,,,,,,,,,,,,,,,
,,,,,,TEL +36 30 696 0061 FAX:+36.34.521.200,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
MICHELIN SHENYANG TIRE CO.(SHY),??????????? MSC Shenyang_5910244622.xls,MICHELIN SHENYANG TIRE CO.,5910244622,04-2-26,Same above,,"Michelin Shenyang Tire Co.,Ltd ","Michelin Shenyang Tire Co.,Ltd ",11-2-26,  BY T.T.R 135 DAYS AFTER B/L DATE,"CIF DALIAN, CHINA", STANDARD EXPORT PACKING ,"DALIAN, CHINA",5910244622,BR,BR150L ,,,       US$,,"Thai Synthetic Rubbers Co., Ltd."
